,name,image,team,battingStyle,bowlingStyle,playingRole,description
104,Fred Klaassen,,Netherlands,Right hand Bat,Left arm Fast medium,Bowler,"Spotted as part of a Netherlands development squad which played two one-day friendlies against Kent in 2018, Fred Klaassen joined the county's Second XI, taking nine wickets in two appearances to earn a two-year deal ahead of the 2019 summer. After an impressive debut season for Kent's first team, Klaassen signed a contract extension to keep him at the club at least until the end of 2021."
105,Paul van Meekeren,,Netherlands,Right hand Bat,Right arm Fast medium,Bowler,"Paul van Meekeren drew attention to himself during the World Twenty20 qualifiers in 2016 when he produced a spell of 4 for 11 against Ireland. A trial match at Taunton Vale, plus the success of his Dutch compatriot Timm van der Gugten at Glamorgan, was enough for Somerset to offer him a short-term deal midway through the 21016 season which they extended to a two-year deal until the end of the 2018 season. He made his Somerset first-class debut against the Pakistan tourists and followed up with T20 and List-A debuts for the Club in the same season, catching the eye in a NatWest T20 Blast fixture at Cardiff where he bowled with genuine pace. The following season, in his sole Championship appearance, he took four wickets on debut against Essex at Chelmsford.

ESPNcricinfo staff"
106,Kyle Mayers,,West Indies,Left hand Bat,Right arm Medium,Batting Allrounder,"A left-handed batsman who bowls useful medium pace, Kyle Mayers travelled to England as a reserve for West Indies in 2020 before making his T20I debut in New Zealand later in the year. "
107,Johnson Charles,,West Indies,Right hand Bat,,Wicketkeeper Batter,"A muscular opener with a penchant for swatting the ball square either side of the wicket, much like Dwayne Smith, Johnson Charles was part of West Indies' T20 World Cup winning teams in 2012 and 2016. While Smith's second skill is seam bowling, Charles' is wicketkeeping. With Denesh Ramdin representing West Indies in all three formats, and Andre Fletcher also in the limited-overs mix, West Indies have used Charles' second skill sparingly."
108,Evin Lewis,,West Indies,Left hand Bat,,Opening Batter,"""I hit a lot of sixes, big sixes like him,"" Evin Lewis said when asked why he chose Chris Gayle as his mentor. For an upcoming left-handed opening batsman, especially in the modern game, that's a fairly smart pick."
109,Brandon King,,West Indies,Right hand Bat,,Top order Batter,"Brandon King got his start as a solid middle-order batter for Jamaica before a promotion to the top order in the CPL unlocked his power-hitting potential, and culminated in a call-up to West Indies' white-ball side."
110,Nicholas Pooran(c),,West Indies,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter,"Nicholas Pooran confirmed his status as one of the most exciting young batting talents in the modern game with a sublime innings of 118 off 103 in West Indies' defeat to Sri Lanka at the 2019 World Cup, but only four years earlier the idea that he would play international cricket seemed fanciful."
111,Rovman Powell,,West Indies,Right hand Bat,Right arm Medium fast,Middle order Batter,"A middle-order batter who bowls occasional medium pace, Rovman Powell has been a semi-regular presence in West Indies' white-ball squads from the mid-2010s without quite nailing down a spot. "
112,Odean Smith,,West Indies,Right hand Bat,Right arm Fast medium,Bowling Allrounder,
113,Obed McCoy,,West Indies,Left hand Bat,Left arm Fast medium,Bowler,
114,Akeal Hosein,,West Indies,Left hand Bat,Slow Left arm Orthodox,Bowler,"Akeal Hosein was handed a chance to impress for West Indies in Bangladesh in early 2021 after several senior players opted out of the tour, but his opportunity had been a long time coming. "
115,Alzarri Joseph,,West Indies,Right hand Bat,Right arm Fast,Bowler,"Tall fast bowler Alzarri Joseph started out as a legspinner in his backyard in Antigua before his height marked him out for a different style of bowling. In his teens he gained a reputation as one of the fastest bowlers on the school circuit, which carried over into the 2016 Under-19 World Cup, where he bowled the competition's fastest delivery, a 147kph zinger that broke Zimbabwe batter Brendan Sly's stumps. Joseph would finish as West Indies' highest wicket-taker of the tournament, with 13 wickets from six games at an economy of 3.31."
116,Jason Holder,,West Indies,Right hand Bat,Right arm Medium fast,Bowling Allrounder,"Jason Holder was seen as a future talent until a selection panel headed by former World Cup-winner Clive Lloyd appointed him West Indies' ODI captain in 2014. Holder was only 23 at the time, and was still making his way as a fast bowler and a lower-middle order batsman. Less than a year later, he took over the Test team too, indicating how much the WICB and men in the know - ranging from Viv Richards to Brian Lara to Tony Cozier - believed in this man, who comes across as remarkably level-headed and mature for someone so young. "
117,Mohammad Rizwan,,Pakistan,Right hand Bat,,Wicketkeeper Batter,"For several years, it appeared Mohammad Rizwan's international career would only happen in a parallel universe, racking up domestic runs even as he struggled to get a game in the national side. But for someone who played an international for the first time in two years in January 2019, Mohammad Rizwan was spoken of remarkably frequently. Most often, he was used as a stick to threaten current first-choice Pakistan wicketkeeper and captain Sarfaraz Ahmed, but the Peshawar native had qualities of his own that suggested he might have been unfortunate not to play for Pakistan more often. "
118,Babar Azam(c),,Pakistan,Right hand Bat,Right arm Offbreak,Batter,"A right-hand, top-order batsman known for his discipline and level-headed attitude, Babar Azam laid claim to a long-term spot in Pakistan's batting line-up with a strong performance in 2016, making three consecutive ODI hundreds against West Indies in the UAE, and a 90 in his third Test, in Hamilton. He was 22 years old at the time."
119,Shan Masood,,Pakistan,Left hand Bat,Right arm Medium fast,Opening Batter,"A solid and technically sound left-hand opener, Shan Masood made it to the international side after impressing consistently at junior-level cricket. With Pakistan struggling to put together a solid opening combination, Masood was the option they turned to in the Test series against South Africa in the UAE."
120,Iftikhar Ahmed,,Pakistan,Right hand Bat,Right arm Offbreak,Middle order Batter,
121,Shadab Khan,,Pakistan,Right hand Bat,Legbreak,Allrounder,"A prodigious turner of the ball, teenage legspinner Shadab Khan burst onto cricket's collective consciousness only during the 2016/17 PSL season. His ability to take wickets while maintaining an excellent economy rate saw him talked up as that most frequent of phenomena: an exciting Pakistani prospect. Shadab is not afraid of bowling the wrong'un either; his only criticism might be that he bowls it a bit too often, but that hasn't helped batsmen pick it up any better, either out of the hand or off the pitch. He's also a useful lower-order right-handed batsman, something that has occasionally been witnessed during his domestic career."
122,Haider Ali,,Pakistan,Right hand Bat,,Middle order Batter,
123,Mohammad Nawaz,https://th.bing.com/th/id/OIP.KNr5ODkzDCSfEXx-5U_q-wAAAA?w=153&h=164&c=7&r=0&o=5&dpr=1.4&pid=1.7,Pakistan,Left hand Bat,Slow Left arm Orthodox,Allrounder,"Mohammad Nawaz started out in cricket at the age of 14 as a left-arm medium-fast bowler and a middle-order batsman. An all-round performance of 60 runs and a four-for for Rawalpindi against Sialkot in an inter-region Under-16 tournament in 2008 earned him a place in the Pakistan side for the International Under-15 Championship in the West Indies. On the slow pitches of the Caribbean, he changed his bowling style to left-arm spin and transformed into a spin-bowling allrounder, with help from  coach Ameer Akbar and team manager Haroon Rashid. "
124,Asif Ali,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wBDAAsJCQcJCQcJCQkJCwkJCQkJCQsJCwsMCwsLDA0QDBEODQ4MEhkSJRodJR0ZHxwpKRYlNzU2GioyPi0pMBk7IRP/2wBDAQcICAsJCxULCxUsHRkdLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCz/wAARCAD7AM0DASIAAhEBAxEB/8QAGwAAAQUBAQAAAAAAAAAAAAAAAAECAwQFBgf/xAA+EAABAwMCBAQCCAQFBAMAAAABAgMRAAQhEjEFQVFhEyJxgTKRBhRCUqGx0fAjM5LhFWJywfEkJUOigrLC/8QAGgEBAAMBAQEAAAAAAAAAAAAAAAEDBAIFBv/EACkRAAICAQQCAQQBBQAAAAAAAAABAhEDBBIhMUFREwUUIjJhcYGRsfD/2gAMAwEAAhEDEQA/AMKKKWigEopaKASjFLSUAlLRRQBSRS0UA2lopSD0oBtFKCDsQR2INFAJSQKdSUAlJT6QigG0UtJQBRS0UAlFEURQBFJS0kGgJopaWkoAikp1JQCUUtJQBSUtH6igEzWbfcUatiplpIcfHx6v5bfY6ck+9SXvEG7UOaVJ8VKCUhRyVHAgfj+88wVFRyZVnUVHKjz81Aaq7y8eGXk8gQhKUgZ2ED/eoVOKBT4jiyBiNaikT0B5VU8U6dMYAmPunbFNUtZJClagOcbjn3/fagNFq8QkkJU4hYKYOCmZ2WP0/wCNFritspZbeIbUPtEgoV7iufBQqcAqzG41JxvnemrJV5wQesjJjGfwoDrUXFq6Qlt5paoJ0oWkq+QM1IK4xEJIUkaVpyClSgfUEZq63xW9YVC1F0bnxPjHXzD/AHFAdPRVKxv2b1BA8ryRKmz06irtAJFFFLQCUkUtFAJRRFG1CRKKKKEE9FFFAFFFFABpIpaKASsy+4o3bKLDYCnwJWonys45xurt/wAU/ivEBYsaWyPrLwIa5+GkYLhH5f2rkwZ1KM6iqQTmSckmgJ8qU484SokqOT5iozk4piQpw9thifbA3rRsOFXl8EhCIRO5EauWTyFddw76OWluELcl1xPM/AP9IrPk1EIGrFpp5OTi27C4cglK0ozGoZ9DUqrAokqSqEiM5Mb16Kmwt0gDw0lsxgjURHSoXuFsrEaACNgABsZnFZfu+Tb9jxweeizVAmQoTqkZAgGj6o4NWkfEhUe8Hf8Af413DfBW1FKnF/DONMnttUq+FW4HlbE75GJ9Nql6teDlaF+Tzlxt5qdaTpzB6ZmJqJPnMHfvzHvXeP8AC2f4gKQUqBkwQK5riPBXWNT1uCWwSSncpHUdqux6iMuGZsullDlGWla7dbTrKyFJII7Ecq6i0vmLtpK04Xs4jcoUPxjpXJFashQ+GMH9d6RDimnEONKUlSSCIOxFazGdzjltRWfw2/TdoMgBxP8AMSBAmJCkjoc1o0A2loooApKWigGnlSU6jFCSaiiihAUlLRQkSkMDJJjJJzAEU6qvECoWN6UqAIYXk8hz+YkD1oQcjfXKru6feM6SrS2D9ltOEiK0uCcJ+uOtuPpIZHmhWNaUnl2JgfPpWUwnW6hISSCoEpG8TtXecOa8ENpVAUqJA2SE4CR2G3z61n1GTZHg16XGpy58GtbstMhLbaEpQmAEoAArSbSTED0IqqwgqUkCd62bZlKvLEfI5968Z8nuqkVkpIxBM8tpqRTRKRgAx0nBrQUyBsoH32+VAbIjn22qpp2XJozPAIJnl8qiUgpmcnoMxWyWsTpk8+YqJbITkJHWc1FNC0zCeY1AkjETnoax3mokQIzHeuqcQnODmaxrtpGomIzIxVkWziSOH4pwcOlT1sAlyfM3sFek86wXbW5YAU63pBMCSDy7V3d0kDXyHLtXN8UKVsxoWHUrGpWAiIkQTuTXqafNJ/izx9TgirkjLsHzb3du5MJ1hDnTQrBn039q7MbDaK4MGCmQDBGDz7V2di/9YtLdzdWkpXvhSDpINbzzC1SUtFAJRRRQBSUtFCSWaWiKMUICig0UJErO4yoI4fcyPjU02JncrBnHpWjgb7VkcfdaFkhOjWpbyQledLZSComep2HvQMxuHJAW06eT6EidjEKiu8YbI8JQ5Rk9K4Xh413fD2xJT4gUQozmNWK74ONst6iQI3UcAcyelebq3ykenolUW2a9qQSggSNj/wAVrtYH+Y/gK5G041a61gOJCAmdSwUhQyJE8q07f6QcM1aDc24XBgFyETy8xOfasqxS9G754eze1rHblvt6inBSiNx++tZyOL8MfJSh9gnolxBMj0/SrrbqFSEEYCSDIgzVUoNGiOSMlwWUHEGB0imPGJAMzgbZPQU4KSCEnGJHIRVW4ubVkKUt1CQAVeZQGOuanaS2lyQPSQTHY1j3RIJzI7mnXPG7RBgraCTOlWsZ7kTNZVxxjhyioquEEjA8PMj3xXawuiiWeK8kVyUqBHM8wa53iNo8nU40qExEK82kRskE1dc4mwpxQC0kTKVAGCd4M86e8tLzMgyI1bziKtipYnbKJuGVNI4xxGgxOcyMYMwRXTcCcCrMt82nFc9wrzfrWBcI/iOFRA82O/c1qfR9Sw7dtYKNCXDkYUDpwN69ZPizw5KnR0FFLRXQEooooQFJS0UBNRij/aigCiiiKATr0rL46f8AoCnEKfaGRsAFKn3iPetWTVW4sV8SYv0Nh8N2uHHVKAaLg3SEATA96qnlUKsvx4ZZbo5rhWoXluk5CFLKZwcpit7iLdzf3LVqhUNNJlQkgFZEzjeMCsThKSb1GDhKlScx5QOXrXYi3ShAdCZcUlOcntBNZNRLbkTNumhuxuJzbvB7lpCnXLlIiRD8DSJmQqTPas1xp5B2K0mPMgLKSAO4it+X3b5DZLaFqcH/AFV0gKQyn7tu2qU//I9O1Ztw9xf6yWVPX61/xW0y4gtqcLqggpOnRoyJ98gbXQnJq2yjJjhF0kyKz+shSFIQfKoEad8dK9B4PdPuNIBSrUEgEEZJrAueHfVrsot7pu6YGiXWUgK1bFKi2PDJBnIP510/CVNshB+JWrTtEjuKxaidnoaXHt6Lyn3ZXIghME5271xn0guLp1ZSjUcSc+WBtjb8P79jeXYSl2EgeWY7VyF+C5qjI0qWdOSaoxS/JM1ZoXGjkFofBMIVOY0yf2Kchh8gBepCTkqUFDPrERW3b2yjbcUuV3IbXbpaW2y2G0vPoU4EuaFPJIlImAB+UVRslcReKkm4eQhCHnHlXIC2JGnQlKSJnOc/KvVUm14PEljSlVMajhSXEJV40qMZwEj3BNT2IcbD9uoKhskJJO4OcUWi1F0ygpMnWlAPhq7pnY1qLZEh0JjEbbjvNZcmR/rI14cS/aByV8B470T8f4Vu8DYS3ZJdIGp9xaieelJKAJ9qx79JTdqTzJEYncVt2tvd2dlaPL8QtqA1ecgNhRwdG0Vr+WMIRsxfDLJOSXg0qKROQDidiB1pa0LkztU6YlFLRQgSkzTqShBPRRRQCUUUUA5ABW2DsVoB9JFaf0fOht5ChrB4lfLdSObaFJSB75rKq7aP/VrS+ITHjXyvEKceRSEqSPTJNefrFwmet9PfaMJq0t2OO8dQyIaYfKGUk6tCVkrCCR93aula1KQhtAGdJkjmOlc8yhxjivEGllJ8f6tcJgzCX0laZI5xXW2bTagmcaQCayZeWm/SNeFJJpe3/saeFeKpLiZSoCTH601zgyVLKyUFQjMbnOdgOdbSSEiEJJEYJwB13oWFRqXgxMAVVuZpUE+TC/w1CCFnZOZPYcqlYhtQPImEdhVm4e1NPARCY9SSYgVUt2VPLQoFWDPb0qJWyY0iS9Wjw1TmYiD16zWH4JWspTkEnTtz3itu+t1KZMEiDkk/pWI2pSXEonzBQCT36VzGzuVMc3YDUQCUncpIkT/pNWv8Kd0FI8MA5VoQATmZq22sLWEqgEjB6fKriVlEpgKEiT0kVc5SKdiOdd4eq3SII1T0qFxSihKSMxIMV0Nx4awqRHTHM5rDuUpAB2WYJjlXPL7IcUujnbhlB4pwwqgJcd0rJOmAAZzyrruIpYeYfLTfhW7li6lsBWtOphGoJCo7VyqkJu+J8MYzC1vzpEqwgq29q3Ao/Ur1ClEpR4SW9R3WVhJgek/Orsj/AFKcNXJ/90VWgA2j/Sgn1KQTT6QRHz/OivWgqikeHldzbA0CiiuysKSlpKAnopaKASKKWk2oAin25Rrubd0nwrlnSTgnxW/hifam1LbhkLJcA1eVbROwWMVm1Md0DZo57Z17MRz62xxRJfQofwWUoJBGpLZ0pgGutsrmCkzOM9CIrF+kqVD/AAq5CgUpcdZyZkEJXz5YNNtbpQICSZEY6YzEVglHdFSPQjLZNxO5ZeBSkE8pjEk1XvLnShzSDJiBGTWU3dw2kqPLac+lMuOIoQNRGpQPI7+nOqlFy6NPyKKtkqltMN+Jd+USXFc8AYEb0cH41wZ+5DbbkonUElK0L0zEgLAkVgXN+66FJKtkgCYOqVZGc+v96qJ4i825qOhakoLYmPI3GI0iBV6wWrM/3ST5O44pe2DVvdaxGr+WVKgJFcozf8OuCpCXCXDqWhWlYSqNgkkVnO8Sce85Wp3+GYS6kBKEkxIjnUTVwseGCsHQApA5IB6b0+B1z2Hqot8dHVNqKFoXyVET361fU8BtHT33HeuatuIa4DkCCATJ09ts1pO3KNAgjHlmfSe9VSg0XRyRl0SPXBASDyMHOxPPNZd08AlRE4BJ+WDQ8+FQJnYnnB3isy7uJQpIjOB1NIwbZxPIkiraJfd4k0tlK1KbQrSUJkIK5TqVHLetpwFDTbQkrDhW6rqudIAqnwBfhvXyioEaGEEEwYBUZrSfLa1IKRlJUpRGxVsKv2OeRRM8ZrHicvLIwIAHQAfKk/Klor1DxxMUlLSUAUUUUBPRRR1oBKDS0UAlFLRQFHiSR9XSuMtuIMzsDIgfP98qbT2lSCZAxk7kcq13UeI263sVoUmekgiudDivOhaSFNr0mYJBRODVOSCZfjyOzebuVOITO88uQ7TWfxS8WkJA+FMzpJxsfNFFo8hskKIKZ5wCZE4mrdszZvvr8QwDMJImTyjPOsaioM2tvIqszLZxp1BUtxQCviIQTEZ2wPxrTZY4FCtTryioCVLUlKgYzCQIPzradtGIbUoJBEAFIgwO4p/g27zaAs27vhlWVJSSQTOUn9Knep+S+GBLhmELf6PtgkOOuK0qH8RSUp0nmYJz7elUXk8JTqDVw4neAogpkTABSJronLCw3DNmVqkSENYIPIRVd+0YSEoSGQCpSiGwkkzjzQKX5s7lgSVJHN+IGljSsELEGCFDeM1reNLTZxJ1CQcKP51O9w6z8IlLDQWftadz3NUnITLZjxGwZG4gYqHJTXBm2PGyN99wCOc56D0qivImOpGxmKHHJUMwNsHEb551C69pSVCAnSU4GTGc1ZGJVKds0+EoBafcKUyXNKSckAAdq1Kr2LJYtWEKEK0619lL8xqwe1bYpJGGTbYUUUVJyJFFLR1oBvKiloigJqKKWgEooo/vQBmilpKAKwOK26mHk3CB/DfMLxhLgHP1rfqveFhNrcF9OpvQQU7ajyFKsXXJzviABtTRgDeYMqg5CTirFtdLSU6SUqSRCpjO+I/Ss4JcDbL5B8J3UEqGYUCQQamYdSmARPmk7H3NUuKaLlJpnXWvEFOtobdKSEiRkzAHQCqXEjalJKHShcgEJWB6yAaopWUltGpJChqiPNHKdvzqyhDQUsqbbgjV0iBJOMfhWXYouzasjkqMlGhtxJU+ojllWOx/5raZct2wFGTIJwSYERgVWDbKnXUueCEHJ+LTnOAf1qs4bdlSlNRgyNONQ2qZVM5i3DkvXvEXFILaDCTBhJJIHQxWSt/4lE/FsAPekeV4iirUZiSRM+5NU3HAMdhvPtFWQgkqKcmVt8kqlklRkZExBqWxZ+tXbKYBaRLrnU6DIHziqTaXX3NKN/vdOua0FoVaobS2opUSfMklJJjcxVlqLSKHbi5+EdHA6ZornBe3yNrhyBjzHUP/AGmpWeL3SnUpKkuNolTx0JHlOISQN6tsyxypm7BooBBAIyFAEHqDmaK6LgooooBINFLSUBPRRRQBSc6WigCkpaSgCsnirhW242CdKEr91aTmtJ5wNImQFKOlE/ePP23rIUrWCSDp2T3B3NcSfgw6rLtqKIOAlt+1ubZwAhDmoBQGAsb57g0y84bc2qpbTrSTgEEkf00nAk6L+9YB3bBE4wF4/OusDYUlSXBKTG/I8tqx5Mjx5Ge9ixrNiTOLDx85UQkxCsfPO/77U5d0sRJyNIMk8hjnFdI/wq1dgFtLgP8AWDtg4rMd4BbL1Ft51B5JXCvYSJqxZYS7K3gyLoyjdkEqSpQkQdO0bc6QvKwBBE4BHOrCuA3wJ0GUgiTBA+VSN8DUDLzqoIMhIA29a6340cfHkfFGa4+IJHxTGN6ezbXNyUkAhAzJ99q3GuF2jemE5HM5PzNaDbKGwNIiSJI36VXLUKP6lsdLKXMjOtrNthAHM796pcVJQlsxgLI/Ct1aTmBmc96yOLtA2zhP2SFe9Z8c28ibNGXElicUYLj6lDSMCrtmlKGvgUVuHUpWw7AVXsrZLqgt0pCAfKDjWe/atcoGklMYwR09K9JvwfNZ5xX4I0uHOlduEH4mVFo+gyn8Me1XDWPw1ZFytA+F1ok/6kH+5rYzXSdo1YZboISiiKKktCiikzQE9FFMdet7dIW+620k7eIoAn/Snc/KgH0AEmACT0FYtx9ILdGpNoyp07Bb0oR/SnzflWTccU4lcyFvqQ2f/Gz/AA0e+nP40OXJI6m4vLG1kPvtpUPsA63P6USfnWW99IWEyLe3Wvop5QQn+lMn8a53/nGKTO9Dhzvo3kXr94EOPBCQdQSlAISlMxzJP41ZCQuUpEjTFZlvKGWBy0Aj3zWlaqSSY2IJHQGqn7PGztubkUj/ANv4jbXh/kOnwXj93VifyPtXbMJQ6kauYwoHP4CK5u5tBcNONKEpWDESY6GrP0c4goTwy8Om5t/K3qMeK2MCD2rHqYWt68H0X0fVqS+KTNx61cT50AKEfZ+KPSqxCSPM1qG+RMHritkQoQZ3EEEznbNROW7aiTIM7mIP9QNYFKj6HYZCnG8ANqnAAIP+9RaCoToQDuJyRWubFKv/ACJB7pnvFBsWuawTy6T6Cp3IjZZjJZUpWJMewipvq6hvvzraRbNITmCSAOgxmqd69b26CVTqAVpQgErXj7KU5qNzfCJe2CbZkPhLQWtaglKRKlKMAda5+5U7xJaUpBRZIMiRC3yOcfdq9ceLfK8S6BQygkt2gkjH2njzPbamFxtOwMYr0cOLb+T7PmNd9TUrx4f8lUW6QAkDAwI6UeEtGUzHMHY1MXgkzp370njHI0jO8mtXJ4m6TKinHbdaXW/jb1HIkEHkasM8fSY8e3jqplX/AOVfrVd9QAWvTASknf2rI0mZB/Su4m/TyaR2DHEbC4gIeAUR8LnkV+OPxq1muHkjerdvfXtvHhPKCeaVeZHyVXRp3+zraTFZdtxphcC5R4Sua0Spv3HxD8a0kLbcSFoWlaTspKgR+FCxNMwrjjvEHpTbITbp+8PO7/UrHyFZaw84orcWpa1GVKUSVH3OafI6UoORUmZzZFpIpYqU03ehFsZAoKcGnwaQgwfSoBpIRDTEb+Eg/wDqKlZUpCgRuNoobH8JnYkNN/8A1FNIWMwQPaqzzJO20b9o6FBCkp1Zynr2mmXbDd0HLp9KLdu0SpYfalKm9BPmSoZk7fuaz7W7LR3Ann92cTVTjnEFrDfCLd1SkIUF3BBkOP8AJsRyT+ZNcKPg4wY5PKtvH8mha/St9sKSW0voyEF6UugDmvwzpro7Xi1ldoStOpskZQqTpVMETXmzVm+hPiOAgK1AJ2Pl61pWN1c2xgJ1N7qBCiQANxGfzqnNpoyX4dn1Om+oOEqnK0eioId+BWrY43qJ5wNHIJUTAAisPh/GrZADhXoEgLS55SPZVXH+KcOUkuKvLZMZgrlXsEya834pp1R7cc8JR3Joz+M8a4g0vwrFOhHhJK1KRqUpSpJ0qnFQ8MvRdtLXEXDagm6TMqUk5S4mcxUdy4xdobeaXKVLUEKgpKkoJBUJzE7VQdL1kU3tuJcZw6nZLjC4CkK/OvTxY0o1XJ8h9QzvUZJY2+L4OidS0sFEAKjeMnG9ZLttBJG01MLpLzSXWFktuDUyVH4VA+Zlff8AXoai+suKkaCDOQTse9Wco8ZJxK62QQfn61BoIMdT+FW1+Id1R1EVTunSwjH81chsdOqz6V0rZdC5OkUrxwavATkIILkH7XJPtVTSKUCMnJJkzuT3pYq1Kj0oraqQ3T2FJpp9EVJ1ZHQFKGASOwJH5VJA6CjHShO4dpkGkTMxzFTuJASn1iahUCFSKkrXI6J+VMyCQRUiTMUKTNQSNGaCBBHOmiQTNWWrZ1/KfKj75yPYc6ESkoq2aDLiS0wIVq8JuQkTPlHIVIpRQB4hSyFCU+MP4iumhlMq/CkQgpaZZDzyW20lENlKCqTPnUkT+NSpZZbBLaQJwTupXqTn8aqPNbjdlMKdcWBaNLDkkeM8QnSTupCBgdt/blWHDXGn0OFcOoWlY6FQM771pjyqnnOauLaTctSn+YnO2fWl0T87jwuEQXDSXbdDyRpClhSwI8q4KTk1nELQZMlPWa1rUB9i7tlRr0qwd9QyDWWFjzJaSYkDzkHJxsamLLMFyuJFeI8W2cUIlA1ggZ8u4+U1QsGlXKwyTCZKlr+42PiV+ncirS3lBh5wpTpw2sEgkhaTtpO4q3YWqbO2TrSfGeCVugfFtKGv9z3PapukbXJ4YO/7FsltIBEIbSEobSPsoSISP1pqfDe1Bc+FB1yJkelNwpR1ALUIKkidCB0J61aFpqbSp0eGx8SkGAVxnJ5J/OqzzbS7Zh2rr1i44strVYXDqm0oMHWlJ+NJ6jlWrk6HEOJIUkqQuRDiRjnzGxH7L1IF8Q2hIFsgglUR4hTyHRNOUhtlxASgFhUeIgRKVjZxA27EfpUt2d5MkZ8tcjVrSlBdUCoAeVKPiWr7oFYTq1uuLcc+I4I5JHJIB5CtaFKUVEaUokNJ+4Dz6TUTzDbsk4VBhQ3966jwThksb5Mn59aTNTu27rWSJT94be9RAZ2qw3Jp9DYpYpYikPpQ6Eog9KeE+tLAoQPeMrSkbDemqSTTwkqcUZ2iaeUjpQ4uitlPWpE+aABk7ACST6CnFClEBIlSjAAGSegrQtrTwYWuC5p5ZCPTvUN0cZMiirZGiwCUhxwBSzkp+ynt69anbMeXaMdMdqtpIOD/AHqJbYmUnv39DXHZgeRy/YSNQpycSDtymmgGPenCD/tNDgQidt/wqW3eLKwRtsfT0qIyFdqXTP751FBouXVuQtu8tzkQVAcxiufeaWHXlCUJStQxBnJ3roLW4CdVu98KgQn3rF4ihxu4uAlcA6VR2KRSPov0zalRXt2A++krgsMAOqQBGsgwlKiTsT+Va4b8RSta9JMqecMDSNyE9zVXh7Wi1QtXxvrU6T0QklCR+Z96utt6wVKMNpkgE4J7ij5OtRlblXoA/bohCEBDSDqAWIKj/miTmnE3HEFDWPDt0wdAxrjYqnMdqahtLizjE5nlFWHHm2k6EQTtXJl/oDi22kBDYGIGIqktWrmfelUSSSefSmkY6/gKlIlDTtnbvTSPapNNJFdHSIyAQQc45/kaqvWggraEEboJwfSr2k5nbn3pNJOMdKdFkZuLtGGQqSkggjcHBB96elIjNa7tmlxEiA4BKTzPY1lqBCiCIKTBB5V2nZthkU1wMP760lLnlShJjapLLLjLR0FSsFRnanOJbQJJG2wxU559pj2rPkqeGokwlas9RsaeClcmjbJZZSXVx4qhCQd0J/U1KXUGSP371HattuO2aVp1By5tkLknzJW4hKhPevVn/o19GLNniCmOFWgUzbhxsuo8YpURv/GKqiMHNlMcTzNuzyzxmpHnSDG2oU/xGzs4iYz5hNN/xXiIvy0lbKWhMIRa2qU/EBsluu5Q+6GGAA0AoImGWRMxP2avy6Z4oObfRXmw/G0m+ziRpMKBBHIgg/KKVISYgzykZ/KusfbZd4df3y2WRd21/wAPaZdbabaUlDhWFA+GADPcGufurh+5cU48oKWhKGkkJQmEJJgQgAVhhLfHcjrV6aWlyPHJ2VVpBg/nTQdJ/e1P+xPOmV2ZUydP1d4BKsK5HnWbxZrS6gSJcaRB5kgqT+lWoAVjkCRVW8UpdzwkKJILgBnp4qcVC4Zbh4mXA0QpthIOltCW+0JEVZc8BCQFHYYA69KmQBpWqPNkzVFUlS5JNR2Ut2xFKMeXEydj+dMCCIUoyTU8ADbkKIwfehJDp+R6UhSP3yqUgQn2pBmZ5EgVJNkcGaIPT/n0qSBNED/1oLI4/fanpSAJO/T+9W7VttdrxRakgqaZti2TukquEpJHtVSTCvSa5UrbXo7lGkn7BSiZ6RG9Uru28QFxAhwDP+dPSrnWlG/tPvXXREZOLtGClPb1qdKDG8eoJqe5SgPugAASDj0pgAz61ZZ6CluVn//Z",Pakistan,Right hand Bat,Right arm Offbreak,Middle order Batter,"Where was Asif Ali in the years Pakistan had been crying out for a power hitter? It took the exposure of the PSL for Asif Ali to come to prominence in an Islamabad United side that owed much to him for their title-winning campaign in 2018. A six in a Super Over against Mustafizur Rahman got their campaign up and running, and it wasn't until he smashed three sixes in arrow in a nerve-wracking chase that his side were assured victory. "
125,Shaheen Shah Afridi,,Pakistan,Left hand Bat,Left arm Fast,Bowler,"A baby face perched on a two-metre body, Shaheen Afridi's story is trademark Pakistani. An 18-year old already comfortable in the green shirt of the national side, he's been on the radar of the national selectors for almost three years. In a more intimate circle, he was destined for great achievements well before his teenage years, with an international cricketer for an elder brother."
126,Haris Rauf,,Pakistan,Right hand Bat,Right arm Fast,Bowler,
136,Arshdeep Singh,https://th.bing.com/th/id/OIP.vaMDV8HTN_Key-xcizwqZQHaHa?w=144&h=180&c=7&r=0&o=5&dpr=1.4&pid=1.7,India,Left hand Bat,Left arm Medium fast,Bowler,
